,AREA,SALE_COND,PARK_FACIL,BUILDTYPE,STREET,MZZONE,PROPERTY_AGE,INT_SQFT,DIST_MAINROAD,N_BEDROOM,N_BATHROOM,N_ROOM,LOG_PRICE
1013,Adyar,Normal Sale,No,Others,Paved,RH,39,613,74,1.0,1.0,2,15.67534042889038
1014,Chrompet,AbNormal,Yes,House,Paved,RL,13,714,92,1.0,1.0,2,15.941496171807824
1015,Karapakkam,Normal Sale,No,Commercial,Gravel,C,19,596,118,1.0,1.0,2,15.62575806530446
1016,KK Nagar,Partial,Yes,Others,Gravel,RH,8,1804,75,3.0,2.0,5,16.27284189625839
1017,Karapakkam,Normal Sale,Yes,Others,Gravel,RL,11,1058,111,1.0,1.0,3,16.083415071781566
1018,Chrompet,AdjLand,Yes,House,Paved,RM,14,884,104,1.0,1.0,3,16.11785982315313
1019,KK Nagar,Normal Sale,No,House,Gravel,RH,21,2321,18,4.0,2.0,6,16.28737333850625
1020,Karapakkam,Normal Sale,Yes,Commercial,Paved,RM,6,1603,70,2.0,2.0,4,16.521183468883393
1021,Adyar,Normal Sale,Yes,Commercial,Paved,RH,10,715,131,1.0,1.0,2,16.21482836393693
1022,Karapakkam,Partial,Yes,Commercial,Paved,C,48,1397,118,2.0,2.0,4,16.16792755803942
1023,Anna Nagar,Partial,Yes,Others,Paved,RL,27,1604,188,1.0,1.0,4,16.427178191126156
1024,KK Nagar,Normal Sale,No,Commercial,Paved,RL,24,1533,195,2.0,1.0,4,16.424789449791295
1025,Anna Nagar,Family,Yes,House,Gravel,RM,14,1744,159,1.0,1.0,4,16.488426378804316
1026,Chrompet,Partial,No,House,Gravel,RL,22,1097,132,1.0,1.0,3,16.018922951218798
1027,Chrompet,AdjLand,No,Commercial,Gravel,RL,31,748,93,1.0,1.0,2,16.229439689584886
1028,Adyar,Partial,No,House,NoAccess,C,23,847,191,1.0,1.0,3,15.50701405375551
1029,TNagar,AdjLand,No,Commercial,Gravel,RH,12,1535,50,1.0,1.0,4,16.752241856498696
1030,Karapakkam,AdjLand,No,House,Paved,I,45,1558,200,2.0,2.0,4,15.812235894274993
1031,Velachery,AbNormal,No,Others,Paved,RH,15,1696,63,2.0,1.0,4,16.110106825095805
1032,Anna Nagar,Partial,Yes,Others,NoAccess,RH,20,1868,157,2.0,1.0,5,16.425993941636346
1033,Karapakkam,Partial,No,Others,Gravel,RH,9,591,8,1.0,1.0,2,15.63820296578207
1034,Anna Nagar,AbNormal,No,Others,NoAccess,RH,16,1539,39,1.0,1.0,4,16.25754911097508
1035,Anna Nagar,AbNormal,Yes,House,Gravel,RM,44,1594,18,1.0,1.0,4,16.423907628957565
1036,Chrompet,AbNormal,Yes,Commercial,Paved,RM,30,1074,140,1.0,1.0,3,16.500155855356372
1037,Chrompet,AdjLand,No,Commercial,Gravel,RH,8,736,167,1.0,1.0,2,16.181751345018718
1038,Chrompet,Family,No,Others,Gravel,RH,33,904,98,1.0,1.0,3,15.902294205300562
1039,Chrompet,AdjLand,Yes,Commercial,Gravel,RM,9,802,107,1.0,1.0,3,16.4251217897009
1040,Karapakkam,Family,No,Commercial,NoAccess,C,38,1445,111,2.0,2.0,4,16.046654534965047
1041,Velachery,AdjLand,No,Others,Paved,RL,8,1623,91,2.0,1.0,4,16.206652807614734
1042,Anna Nagar,Normal Sale,Yes,House,Paved,RL,30,1978,193,2.0,1.0,5,16.477844375987985
1043,Karapakkam,AbNormal,No,Others,Gravel,RH,45,1546,105,2.0,2.0,4,15.99866922818074
1045,KK Nagar,AdjLand,Yes,Commercial,Gravel,RM,17,1673,47,2.0,1.0,4,16.67311517796533
1046,KK Nagar,Family,No,Commercial,Paved,RH,8,2334,153,4.0,2.0,6,16.737189804008906
1047,Chrompet,Partial,No,House,Gravel,RM,38,1114,106,1.0,1.0,3,16.07937010319042
1048,Chrompet,Normal Sale,Yes,House,Paved,RL,9,776,97,1.0,1.0,2,15.95861504226216
1049,Karapakkam,AdjLand,Yes,Others,Paved,RL,5,1675,185,2.0,2.0,4,16.25150266084763
1050,TNagar,AbNormal,Yes,Commercial,Gravel,RM,35,1590,39,1.0,1.0,4,16.863333305573654
1051,TNagar,Partial,No,Commercial,Gravel,RM,6,1639,76,1.0,1.0,4,16.844206123165637
1052,Velachery,AbNormal,Yes,House,NoAccess,I,45,1712,182,2.0,1.0,4,15.957003702838158
1053,Adyar,Normal Sale,Yes,House,NoAccess,RH,38,1118,145,1.0,1.0,3,15.974232093448435
1054,Adyar,Partial,No,Commercial,Paved,I,10,792,93,1.0,1.0,2,16.118873348473198
1055,Adyar,Normal Sale,Yes,House,NoAccess,RL,25,1190,37,1.0,1.0,3,16.117988045169025
1056,Chrompet,AdjLand,No,House,Paved,RL,21,1243,77,2.0,1.0,4,16.107587735683847
1057,Anna Nagar,Normal Sale,No,House,Gravel,RL,18,1657,105,1.0,1.0,4,16.36074790402389
1058,Chrompet,Partial,No,Others,Gravel,RM,32,1008,84,1.0,1.0,3,16.087425905848203
1059,Velachery,Normal Sale,Yes,Commercial,Paved,I,22,1658,19,2.0,1.0,4,16.51234516543919
1060,KK Nagar,Partial,No,Commercial,Gravel,RM,7,1381,127,2.0,1.0,4,16.45826945688257
1061,Karapakkam,AbNormal,No,Commercial,Paved,I,9,929,14,1.0,1.0,3,15.923292198403102
1062,Chrompet,Normal Sale,No,Others,Gravel,RL,5,1166,31,1.0,1.0,3,16.169470662006972
1063,Chrompet,AdjLand,No,Others,Gravel,RH,30,1239,75,2.0,1.0,4,16.138101786956963
1064,Chrompet,Partial,No,Others,Gravel,RH,22,1231,120,2.0,1.0,4,16.11768296581552
1065,Anna Nagar,Partial,No,House,NoAccess,RM,39,1973,49,2.0,1.0,5,16.36083059157326
1066,KK Nagar,AdjLand,No,Others,Paved,RL,21,2244,98,4.0,2.0,6,16.388872278225893
1067,Karapakkam,Family,Yes,Others,NoAccess,A,18,1577,113,2.0,2.0,4,15.773057027391637
1068,TNagar,Partial,Yes,Others,NoAccess,RH,39,1854,5,2.0,1.0,5,16.413774687287578
1069,Chrompet,AdjLand,No,Others,Paved,RM,12,1109,60,1.0,1.0,3,16.171846917056858
1070,KK Nagar,AdjLand,No,House,Gravel,RH,7,1801,115,3.0,2.0,5,16.198988305017377
1071,Chrompet,Partial,No,Commercial,Gravel,RL,38,1257,35,2.0,1.0,4,16.48133103805296
1072,Karapakkam,Partial,No,Others,NoAccess,RH,34,531,41,1.0,1.0,2,15.192515657176765
1073,Karapakkam,AbNormal,No,House,Gravel,RM,29,1380,185,2.0,2.0,4,16.036870194112655
1074,KK Nagar,Family,No,House,Paved,RH,13,1758,14,2.0,1.0,4,16.048595079184814
1075,Anna Nagar,AbNormal,Yes,House,Paved,RM,5,1777,192,1.0,1.0,4,16.518294516721976
1076,Anna Nagar,Normal Sale,No,Others,Paved,RL,25,1943,108,2.0,1.0,5,16.50514760600373
1077,Velachery,Normal Sale,Yes,Others,NoAccess,I,5,1964,128,3.0,2.0,5,16.237003298446137
1078,Anna Nagar,AdjLand,Yes,Others,Gravel,RH,32,1777,139,1.0,1.0,4,16.514186019861988
1079,Anna Nagar,Family,No,House,NoAccess,RH,21,1751,99,1.0,1.0,4,16.220584005908638
1080,KK Nagar,Family,No,House,Paved,RM,20,1573,76,2.0,1.0,4,16.107743047204256
1081,KK Nagar,Family,Yes,Commercial,Gravel,RL,27,1438,27,2.0,1.0,4,16.490114827718028
1082,Adyar,Partial,No,Others,Paved,RH,35,925,19,1.0,1.0,3,15.877565703409177
1083,Chrompet,Family,No,Others,Paved,RM,16,1280,78,2.0,1.0,4,16.226914898301708
1084,Adyar,AdjLand,Yes,House,NoAccess,RL,14,947,151,1.0,1.0,3,16.041416746018033
1085,TNagar,AdjLand,No,Others,Paved,RH,40,1981,162,2.0,1.0,5,16.496949602246534
1086,KK Nagar,Family,No,House,Gravel,RL,15,1554,169,2.0,1.0,4,16.122038268617082
1087,Velachery,Normal Sale,Yes,Others,Paved,A,39,1762,196,2.0,1.0,4,16.050327279465154
1088,Anna Nagar,Normal Sale,No,House,NoAccess,RM,18,1835,52,2.0,1.0,5,16.39364954852527
1089,KK Nagar,AdjLand,Yes,Others,Gravel,RH,27,1351,41,2.0,1.0,4,16.168746939304086
1090,Chrompet,Normal Sale,No,Others,Gravel,RL,23,750,33,1.0,1.0,2,15.92753859534593
1091,Velachery,AbNormal,No,Commercial,Gravel,RH,49,1598,7,2.0,1.0,4,16.431183520648222
1092,Velachery,Partial,Yes,Others,Gravel,A,38,1856,52,3.0,2.0,5,16.114884801694465
1093,Velachery,AdjLand,No,House,NoAccess,RL,49,1584,11,2.0,1.0,4,15.959686382869034
1094,Adyar,Partial,No,Commercial,Paved,A,24,852,68,1.0,1.0,3,15.980550843921142
1095,Karapakkam,Family,Yes,Commercial,Paved,A,46,1650,14,2.0,2.0,4,16.21799184436323
1096,Karapakkam,Partial,No,House,Gravel,I,12,1606,40,2.0,2.0,4,15.900020234922309
1097,Adyar,AbNormal,Yes,House,Paved,RL,39,1152,80,1.0,1.0,3,16.161064906462748
1098,KK Nagar,AbNormal,Yes,Others,Gravel,RM,19,1763,79,2.0,1.0,4,16.37940304944735
1099,Anna Nagar,Normal Sale,Yes,Commercial,Paved,RM,20,1969,76,2.0,1.0,5,16.993296685816436
1100,Adyar,Partial,Yes,Others,NoAccess,C,27,994,185,1.0,1.0,3,15.828614628031664
1101,TNagar,Partial,No,Others,Paved,RH,25,1566,68,1.0,1.0,4,16.276747357378937
1102,Chrompet,AdjLand,Yes,Commercial,NoAccess,RL,9,914,52,1.0,1.0,3,16.343380508040077
1103,Anna Nagar,Normal Sale,No,House,NoAccess,RM,28,1757,19,1.0,1.0,4,16.33192612992702
1104,Adyar,AdjLand,No,Others,Paved,RL,33,1241,62,2.0,2.0,4,16.221263153720212
1105,Velachery,Partial,No,Commercial,NoAccess,RL,36,1926,150,3.0,2.0,5,16.554184624994246
1106,Velachery,AbNormal,No,House,Paved,A,12,1531,67,2.0,1.0,4,15.773152618232414
1107,Adyar,AbNormal,No,Commercial,NoAccess,RH,40,928,126,1.0,1.0,3,16.22379620879525
1108,Velachery,Family,No,House,Paved,I,45,1716,113,2.0,1.0,4,15.907893867526198
1109,Velachery,AbNormal,Yes,Others,Paved,A,15,1637,192,2.0,1.0,4,16.06221553739139
1110,Chrompet,Normal Sale,Yes,Others,NoAccess,RL,16,1286,103,2.0,1.0,4,16.221750643037296
1111,Karapakkam,AbNormal,No,Commercial,Paved,I,18,1694,61,2.0,2.0,4,16.300299367476047
1112,Chrompet,AbNormal,No,Commercial,Gravel,RH,21,770,25,1.0,1.0,2,16.147795317064492
1113,Velachery,AdjLand,Yes,House,Gravel,A,21,1677,199,2.0,1.0,4,16.04861244499135
1114,Adyar,Normal Sale,No,Commercial,Gravel,I,29,790,200,1.0,1.0,2,16.138574912031324
1115,Chrompet,Family,Yes,House,Paved,RL,36,1115,144,1.0,1.0,3,16.04968907185411
1116,KK Nagar,Family,No,House,Paved,RL,23,1723,86,2.0,1.0,4,16.071592549466097
1117,Karapakkam,AdjLand,No,Commercial,NoAccess,RM,28,1013,164,1.0,1.0,3,16.120552031583692
1118,Karapakkam,Partial,No,Others,NoAccess,RL,48,1143,29,1.0,1.0,3,15.653853154472003
1119,KK Nagar,Partial,Yes,Commercial,Paved,RM,10,1676,172,2.0,1.0,4,16.579930758485744
1120,Adyar,Family,Yes,Others,Paved,I,26,960,166,1.0,1.0,3,15.982447963417728
1121,TNagar,Partial,No,House,Gravel,RM,21,1849,150,2.0,1.0,5,16.462870255913256
1122,Karapakkam,Partial,No,House,Gravel,A,30,850,99,1.0,1.0,2,15.231962813678704
1123,Chrompet,Partial,Yes,Commercial,NoAccess,RL,22,935,192,1.0,1.0,3,16.2996403227219
1124,Karapakkam,AbNormal,Yes,Commercial,Gravel,I,28,1247,185,1.0,1.0,3,16.238043807714174
1125,Karapakkam,AbNormal,No,Others,Gravel,RL,6,1420,30,2.0,2.0,4,16.087592731178038
1126,Chrompet,AdjLand,No,House,Gravel,RL,6,989,1,1.0,1.0,3,16.083565177414805
1127,Chrompet,Normal Sale,Yes,House,NoAccess,RH,16,1227,143,2.0,1.0,4,16.036572639842742
1128,Velachery,Normal Sale,No,House,Paved,I,50,1626,102,2.0,1.0,4,15.84059160620709
1129,Chrompet,Partial,Yes,Commercial,NoAccess,RM,30,787,162,1.0,1.0,2,16.235547787429162
1130,Velachery,AbNormal,Yes,House,NoAccess,RH,32,1576,46,2.0,1.0,4,16.018890927253384
1131,Karapakkam,Family,No,House,NoAccess,RM,42,594,195,1.0,1.0,2,15.53456204894862
1132,Chrompet,AdjLand,No,House,Paved,RM,32,991,105,1.0,1.0,3,16.01874426647497
1133,Karapakkam,AdjLand,No,House,Gravel,A,33,684,101,1.0,1.0,2,15.23904169437971
1134,Velachery,Normal Sale,No,House,NoAccess,I,27,1717,26,2.0,1.0,4,15.850209146954276
1135,Adyar,Partial,Yes,Others,Gravel,C,5,1195,139,1.0,1.0,3,16.117823313877942
1136,Chrompet,Partial,No,Commercial,Gravel,RH,8,951,73,1.0,1.0,3,16.273212578103962
1137,Karapakkam,Normal Sale,Yes,House,NoAccess,RM,30,825,200,1.0,1.0,2,15.785572964585242
1138,KK Nagar,Partial,Yes,Commercial,Paved,RL,23,2498,153,4.0,2.0,6,16.839027196298748
1139,Karapakkam,Partial,No,House,NoAccess,I,20,830,93,1.0,1.0,2,15.320699336926513
1140,Karapakkam,AbNormal,Yes,Others,Gravel,RM,33,1459,155,2.0,2.0,4,16.200214847389912
1141,Chrompet,AdjLand,No,House,Gravel,RL,26,820,16,1.0,1.0,3,15.95488071459807
1143,Karapakkam,Family,Yes,House,NoAccess,RM,14,1647,61,2.0,2.0,4,16.13342071991523
1144,Karapakkam,Family,Yes,House,NoAccess,RM,30,847,36,1.0,1.0,2,15.788978062487118
1145,Anna Nagar,Partial,Yes,Others,Paved,RM,28,1863,132,2.0,1.0,5,16.565390885251205
1146,Adyar,Partial,Yes,Others,Paved,RL,7,1080,171,1.0,1.0,3,16.20762753214014
1147,Chrompet,Partial,No,House,Paved,RM,6,1292,6,2.0,1.0,4,16.134479007833836
1148,KK Nagar,Family,Yes,Others,Gravel,RH,30,1883,97,3.0,2.0,5,16.299242267780556
1149,Velachery,Family,No,Others,NoAccess,RM,49,1748,76,2.0,1.0,4,16.110678814097287
1150,Karapakkam,Normal Sale,No,Others,Paved,I,37,1621,9,2.0,2.0,4,15.890782418594009
1151,KK Nagar,Family,Yes,House,Paved,RL,9,2061,64,3.0,2.0,5,16.299431305243406
1152,Velachery,AdjLand,No,Commercial,NoAccess,RL,26,1521,78,2.0,1.0,4,16.41893404818214
1153,Chrompet,Family,Yes,Commercial,Gravel,RH,23,839,71,1.0,1.0,3,16.31101996599243
1154,Chrompet,AbNormal,No,House,Gravel,RH,5,1296,170,2.0,1.0,4,16.116929170884895
1155,Chrompet,Normal Sale,Yes,Others,NoAccess,RL,14,1027,4,1.0,1.0,3,16.078139219230486
1156,KK Nagar,AdjLand,No,Others,Paved,RL,17,1921,28,3.0,2.0,5,16.30343415219525
1157,Adyar,Normal Sale,Yes,House,Gravel,I,37,855,117,1.0,1.0,3,15.90499735173469
1158,Velachery,Partial,Yes,Others,NoAccess,RL,46,1857,170,3.0,2.0,5,16.1874604132853
1159,Chrompet,Normal Sale,Yes,Others,Paved,RL,36,920,67,1.0,1.0,3,16.06841957448444
1160,Velachery,Normal Sale,No,Commercial,NoAccess,C,50,1781,109,2.0,1.0,4,16.373619496088672
1161,Anna Nagar,Partial,No,House,NoAccess,RH,44,1658,110,1.0,1.0,4,16.115180405757297
1162,Karapakkam,Normal Sale,Yes,Commercial,Paved,RL,44,1611,28,2.0,2.0,4,16.41152199345524
1163,KK Nagar,AbNormal,Yes,Others,Gravel,RM,6,1339,26,2.0,1.0,4,16.278401463317962
1164,Karapakkam,Family,Yes,Others,Paved,RH,26,876,140,1.0,1.0,2,15.799297798136703
1165,Velachery,Normal Sale,No,Commercial,NoAccess,RL,19,1880,149,3.0,2.0,5,16.582028012298643
1166,Karapakkam,Normal Sale,Yes,House,NoAccess,A,29,1227,95,1.0,1.0,3,15.485503254482094
1167,Chrompet,Normal Sale,No,Others,Paved,RM,28,918,99,1.0,1.0,3,16.027127620364617
1168,Chrompet,Partial,Yes,Commercial,Paved,RL,24,750,78,1.0,1.0,2,16.201146997366706
1169,Anna Nagar,Family,No,House,Paved,RH,44,1631,137,1.0,1.0,4,16.196863484786967
1170,Karapakkam,Family,No,House,Gravel,I,45,782,71,1.0,1.0,2,15.441783561656843
1171,Chrompet,AdjLand,Yes,Others,NoAccess,RM,27,1258,73,2.0,1.0,4,16.262757482290187
1172,TNagar,AdjLand,Yes,Others,NoAccess,RH,8,1536,5,1.0,1.0,4,16.409262569275185
1173,Karapakkam,Normal Sale,No,Commercial,NoAccess,RL,40,643,167,1.0,1.0,2,15.741007336114636
1174,Adyar,Family,Yes,Others,NoAccess,RH,9,919,111,1.0,1.0,3,16.034589903879667
1175,Karapakkam,Partial,No,Others,Gravel,RM,19,1180,81,1.0,1.0,3,15.994264260827732
1176,Adyar,AdjLand,No,Others,NoAccess,RM,7,1167,15,1.0,1.0,3,16.20272297167617
1177,Velachery,AbNormal,Yes,Others,Paved,RH,34,1698,47,2.0,1.0,4,16.212747341278753
1178,Adyar,AdjLand,No,Others,Gravel,C,28,1051,38,1.0,1.0,3,15.955957942904062
1179,Chrompet,AdjLand,No,Others,Gravel,RH,5,881,79,1.0,1.0,3,16.01820647352754
1180,Karapakkam,AdjLand,Yes,House,Paved,I,39,1042,82,1.0,1.0,3,15.7280874174977
1181,Velachery,Family,No,House,Gravel,I,32,1954,24,3.0,2.0,5,16.102458932202847
1182,Adyar,AdjLand,No,House,Gravel,RM,40,919,147,1.0,1.0,3,16.091605258329388
1183,Karapakkam,AdjLand,No,Commercial,Paved,C,17,1287,19,1.0,1.0,3,16.088179182761934
1184,Anna Nagar,Partial,Yes,House,Paved,RL,9,1793,90,1.0,1.0,4,16.434869207737773
1185,KK Nagar,Partial,Yes,Commercial,Paved,RM,17,1814,159,3.0,2.0,5,16.656583697450056
1186,Velachery,AbNormal,No,House,NoAccess,C,36,1889,117,3.0,2.0,5,15.849914591694304
1187,Velachery,Partial,No,Commercial,NoAccess,I,44,1642,80,2.0,1.0,4,16.321825652875727
1188,Velachery,AdjLand,No,Commercial,Gravel,I,10,1910,28,3.0,2.0,5,16.62725743130422
1189,Chrompet,Partial,No,House,NoAccess,RL,11,990,11,1.0,1.0,3,15.846752567267377
1190,KK Nagar,AbNormal,Yes,Others,Paved,RM,25,1842,150,3.0,2.0,5,16.342189310776465
1191,Karapakkam,Partial,No,Commercial,Gravel,RM,17,825,50,1.0,1.0,2,16.095885215216548
1192,Chrompet,Normal Sale,Yes,House,Paved,RL,10,802,157,1.0,1.0,3,16.01886365086031
1193,Karapakkam,Normal Sale,No,Others,Gravel,C,12,858,160,1.0,1.0,2,15.59874361375408
1194,KK Nagar,Normal Sale,Yes,Others,Paved,RH,22,1499,130,2.0,1.0,4,16.1607057099381
1195,Anna Nagar,Partial,Yes,Commercial,NoAccess,RM,39,1828,26,2.0,1.0,5,16.889637011886272
1196,Chrompet,Family,Yes,House,Gravel,RH,24,717,100,1.0,1.0,2,15.901140164020205
1197,Karapakkam,Family,No,Others,Gravel,RM,8,504,133,1.0,1.0,2,15.82616670663201
1198,Anna Nagar,Partial,Yes,House,Gravel,RL,24,1823,11,2.0,1.0,5,16.456486902235365
1199,KK Nagar,Normal Sale,Yes,House,Paved,RL,30,1721,33,2.0,1.0,4,16.19799339427888
1200,TNagar,AbNormal,No,Commercial,Paved,RL,45,1734,28,1.0,1.0,4,16.806367717437027
1201,Chrompet,Partial,Yes,Commercial,Gravel,RM,31,787,147,1.0,1.0,2,16.316536179627974
1202,Chrompet,AdjLand,No,House,Gravel,RL,24,1265,30,2.0,1.0,4,16.133359857932263
1203,Velachery,AbNormal,No,House,Paved,RM,33,1967,142,3.0,2.0,5,16.240595544728126
1204,Chrompet,AdjLand,Yes,Commercial,Paved,RH,10,1008,148,1.0,1.0,3,16.40574627291554
1205,Chrompet,Partial,Yes,Commercial,NoAccess,RM,37,1120,166,1.0,1.0,3,16.438491204609466
1207,Karapakkam,AdjLand,No,Others,Gravel,A,47,1100,199,1.0,1.0,3,15.565440233346221
1208,Adyar,Partial,Yes,House,Gravel,RM,34,1098,18,1.0,1.0,3,16.209539548133126
1209,KK Nagar,AbNormal,No,House,Gravel,RL,17,1470,3,2.0,1.0,4,16.08804635944658
1210,Chrompet,Partial,Yes,House,NoAccess,RH,17,970,152,1.0,1.0,3,15.862864376125044
1211,KK Nagar,AdjLand,Yes,Others,Gravel,RM,27,1432,111,2.0,1.0,4,16.301924404693448
1212,Karapakkam,AdjLand,No,Commercial,Paved,A,18,790,119,1.0,1.0,2,15.674902195564771
1213,Chrompet,AdjLand,No,Commercial,Paved,RL,5,1149,52,1.0,1.0,3,16.480383910719752
1214,Chrompet,AbNormal,No,House,Paved,RL,26,762,154,1.0,1.0,2,15.803038681806337
1215,Chrompet,Family,Yes,House,Paved,RM,34,847,6,1.0,1.0,3,16.04142117275911
1216,Velachery,Normal Sale,Yes,House,Gravel,C,27,1954,131,3.0,2.0,5,16.17235180174871
1217,KK Nagar,Normal Sale,Yes,Others,Gravel,RM,11,2232,172,4.0,2.0,6,16.516238483183013
1218,Anna Nagar,Family,Yes,Commercial,NoAccess,RH,40,1587,37,1.0,1.0,4,16.72340980797863
1219,TNagar,Family,Yes,Commercial,Paved,RH,15,1891,100,2.0,1.0,5,16.909911637545083
1220,KK Nagar,Family,No,Others,Gravel,RH,23,1916,193,3.0,2.0,5,16.23611999083183
1221,Velachery,Partial,Yes,Others,Paved,RL,21,1622,62,2.0,1.0,4,16.225345899944852
1222,Velachery,AbNormal,No,Commercial,Paved,RH,7,1812,41,3.0,2.0,5,16.57159057074915
1223,Adyar,Partial,Yes,Others,NoAccess,RM,20,1010,121,1.0,1.0,3,16.134078541358843
1224,TNagar,Normal Sale,Yes,Commercial,NoAccess,RH,16,1526,80,1.0,1.0,4,16.727751325236376
1225,Chrompet,Normal Sale,No,House,Gravel,RH,39,775,34,1.0,1.0,2,15.749956095936898
1226,Karapakkam,Family,Yes,Others,NoAccess,A,14,1239,78,1.0,1.0,3,15.636761189605899
1227,Anna Nagar,AbNormal,No,House,NoAccess,RH,37,1538,94,1.0,1.0,4,16.122477337334406
1228,Anna Nagar,Normal Sale,No,Commercial,Paved,RM,36,1853,142,2.0,1.0,5,16.891650657143515
1229,Velachery,Family,Yes,Commercial,NoAccess,RH,29,1536,37,2.0,1.0,4,16.431788466884132
1230,KK Nagar,Family,Yes,House,Paved,RM,25,2241,10,4.0,2.0,6,16.4015659161894
1231,Velachery,Partial,Yes,House,Paved,C,36,1709,153,2.0,1.0,4,15.964127471143588
1232,Chrompet,Partial,No,Commercial,Gravel,RM,8,1282,137,2.0,1.0,4,16.573785893173913
1233,Karapakkam,Normal Sale,No,House,NoAccess,C,40,1319,55,1.0,1.0,3,15.428352868852235
1234,Adyar,Normal Sale,Yes,House,Gravel,RM,33,994,14,1.0,1.0,3,16.196715870452024
1235,Chrompet,Partial,No,Others,Paved,RL,32,782,192,1.0,1.0,2,15.849622303987747
1236,KK Nagar,AdjLand,No,Commercial,Paved,RM,17,2235,21,4.0,2.0,6,16.788395814767657
1237,Adyar,AdjLand,Yes,House,Paved,RM,21,650,159,1.0,1.0,2,16.06368751047058
1238,Anna Nagar,Family,No,House,Paved,RH,42,1677,55,1.0,1.0,4,16.223904526088013
1239,Adyar,Family,No,Others,Paved,A,35,684,82,1.0,1.0,2,15.38701251558954
1240,Chrompet,Partial,Yes,House,NoAccess,RM,9,1128,41,1.0,1.0,3,16.133785518716
1241,KK Nagar,Normal Sale,Yes,Commercial,Paved,RH,18,1360,157,2.0,1.0,4,16.405547796979043
1242,Chrompet,AbNormal,Yes,Others,Gravel,RL,23,895,193,1.0,1.0,3,16.104713406821844
1243,Chrompet,Normal Sale,Yes,Others,Paved,RL,31,1227,104,2.0,1.0,4,16.210830335201223
1244,TNagar,Family,No,House,Paved,RH,7,1720,187,1.0,1.0,4,16.29670373801699
1245,Karapakkam,AdjLand,No,House,Paved,RL,13,1003,42,1.0,1.0,3,15.821250525668692
1246,KK Nagar,AbNormal,No,Commercial,Gravel,RL,20,2114,106,3.0,2.0,5,16.71224458916427
1247,Chrompet,AdjLand,Yes,House,Paved,RH,29,973,155,1.0,1.0,3,15.995519798080892
1248,Velachery,AdjLand,Yes,House,Paved,C,32,1655,139,2.0,1.0,4,16.036276082268493
1249,Adyar,Normal Sale,No,House,Gravel,C,38,910,141,1.0,1.0,3,15.727656929103897
1250,Adyar,Normal Sale,Yes,House,NoAccess,RM,35,840,97,1.0,1.0,3,15.999428437031508
1251,KK Nagar,Family,No,Commercial,Paved,RM,13,1835,194,3.0,2.0,5,16.60470581277946
1252,Chrompet,AdjLand,No,Others,Gravel,RL,13,1001,1,1.0,1.0,3,16.125507713627716
1253,Anna Nagar,AbNormal,Yes,Commercial,Paved,RM,10,1646,94,1.0,1.0,4,16.893247060304645
1254,Chrompet,AdjLand,No,Others,Gravel,RL,27,907,38,1.0,1.0,3,16.049892717388243
1255,Adyar,Partial,Yes,Others,Paved,RL,9,809,171,1.0,1.0,3,16.06826486553035
1256,Chrompet,Normal Sale,No,Commercial,Gravel,RL,26,1278,99,2.0,1.0,4,16.53267906071101
1257,Chrompet,Normal Sale,No,Others,Gravel,RL,19,1051,66,1.0,1.0,3,16.079079732833105
1258,Adyar,Normal Sale,No,Others,NoAccess,I,12,1054,59,1.0,1.0,3,15.894389691522306
1259,Karapakkam,AdjLand,Yes,Commercial,Paved,C,11,971,161,1.0,1.0,3,16.059268999324345
1260,KK Nagar,Normal Sale,No,Commercial,Gravel,RM,29,1956,103,3.0,2.0,5,16.66877263513165
1261,Anna Nagar,AdjLand,Yes,Others,NoAccess,RL,40,1921,106,2.0,1.0,5,16.524635781023264
1262,Karapakkam,AbNormal,Yes,Others,Gravel,A,47,947,102,1.0,1.0,3,15.573380371997608
1263,Velachery,Normal Sale,Yes,Others,NoAccess,C,40,1514,67,2.0,1.0,4,15.935250116912258
1264,Karapakkam,AbNormal,No,Commercial,NoAccess,RH,41,1125,176,1.0,1.0,3,15.964158731615994
1265,Karapakkam,AdjLand,Yes,House,NoAccess,I,43,1394,60,2.0,2.0,4,15.805755381990593
1266,Karapakkam,Family,No,Commercial,Paved,RM,20,1609,60,2.0,2.0,4,16.420790293738
1267,TNagar,Partial,No,House,Gravel,RL,7,1916,166,2.0,1.0,5,16.43304776766549
1268,Chrompet,Normal Sale,No,House,NoAccess,RL,8,1015,24,1.0,1.0,3,15.906187495536505
1269,Chrompet,Partial,No,Others,Paved,RH,30,835,124,1.0,1.0,3,15.804930286745094
1270,Anna Nagar,Normal Sale,No,House,NoAccess,RM,36,1617,128,1.0,1.0,4,16.29031400854867
1271,TNagar,Normal Sale,No,House,Gravel,RM,19,1901,75,2.0,1.0,5,16.50251449877927
1272,Anna Nagar,Partial,Yes,Commercial,Paved,RM,39,1548,81,1.0,1.0,4,16.773962889849066
1273,Anna Nagar,Family,Yes,House,NoAccess,RL,33,1660,50,1.0,1.0,4,16.314039008326315
1274,Karapakkam,AdjLand,Yes,Others,Gravel,C,16,890,163,1.0,1.0,3,15.783879467534211
1275,Chrompet,Family,Yes,Commercial,Paved,RH,29,956,134,1.0,1.0,3,16.322779301914927
1276,Velachery,AdjLand,Yes,House,Gravel,RL,47,1841,37,3.0,2.0,5,16.303107169891224
1277,Chrompet,Family,No,Commercial,NoAccess,RM,7,1280,185,2.0,1.0,4,16.50182919657042
